sentences,labels
watching for bounce tomorrow,2
record number of passengers served in 2015,2
out $NFLX -.35,0
"Looking for a strong bounce, Lunchtime rally coming",2
Very intrigued with the technology and growth potential,2
"short worked, puts up",1
overbought,0
"absolute garbage still up, stores TOTALLY EMPTY, stock mispriced",0
Biggest Market Losers,0
Love this company long time.,2
$GOOG $GOOGL would suck,0
"who won't pay anymore, REAL risk",0
No edge offered,2
runs into the 50sma on the acquisition news,2
t can't go down,2
now seems like its helping the downtrend,0
mastered their supply chain,2
Most bullish stocks on Twitter during this dip,2
"big dumping, would not touch it for a while",0
"trade continuing very nicely from yesterday, looking very strong here",2
in from 3.61,2
Stochastic Overbought,0
Unusual call buying,2
reserves are in decline,2
"all on a longer-term, technical swing long basis.",2
Insiders Are Selling,0
What goes up...,0
if $249.84 breaks we see $245 then $240,0
let's see a big bounce,2
I don't think it will move $FB in the short term,0
above 2.25 and it could get going?,2
Hold,2
may feed off $TSLA momentum run lately.,2
possible double bottom set up,2
"trading at all-time high, strong earnings report",2
If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros,2
"Put the chum out there at key support then next level down, careful",0
"#Tesla: Great Company, Bad #Stock $TSLA",0
Good idea buy half this and half BAC?,2
Alibaba IPO hoopla canâ€™t hide risk of Chinese stocks,0
"all on a longer-term, technical swing long basis.",2
on the fence with this one,1
stay long Apple,2
looks like drought conditions in soil already,0
Unusual Call Activity,2
"$MDXG, lower",0
Biggest Market Losers,0
hip sinking?,0
Can't imagine shorts wanting to go into the weekend without taking care of their position,2
"nice volume, watch 330 resistance",2
"$SIMO Basing nice, A close over 24.18 is bullish",2
Big Money Is Pouring Into Facebook From All Directions,2
placed an order to sell 5 shares,0
go $FB go,2
Out $BIDU for now,0
Short Setups Looking Nice....Really Nice,0
Defying the Downturn,2
but man this is one to be careful with,0
downgrade,0
Short $TSLA calls,0
Was looking for a long entry but today's price action wasn't appealing,2
"just follow the trend, follow the money flow",2
tapping on 10.00,2
Will re-enter short on bounce..,0
Found some good bull setups this week,2
all going down,0
so volatile!,0
sold my 81 calls,2
I'm watching(and buy targets),2
beats the Estimize EPS Consensus by 6c and the Estimize Revenue Consensus by,2
Short Percent of Float 16.80%,0
,0
Add to $FXP $SKF positions,2
long,2
Bottom Losses,0
ure wish bad news came out just a few days earlier,0
,1
"$WMT, 13%",2
"added, increase of 16.7%",2
"mkt fell on debt downgrade, due to slow growth",0
$FCX +3.53%,2
"been very frustrating, green bar gets followed immediately by 1-3 weeks of consolidation",0
Thanks for the short,0
need to break $4 again,2
"Fed cuts rates forecast, Our calls go 100%",2
Stochastic Overbought,0
Very tight price,1
#oversold,2
a great step for #China to let $FB in,2
new squeeze plays,0
$CRM Seems a little to high also,0
Pie In The Sky,2
Moved Upper Bollinger Band,2
Highest call to put ratio,2
offers will take place until next week,2
Currently it is the shorts rejoicing,0
breaking out when the market pulls back,2
airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU,2
Buy the dip',2
"$MDXG,  lower.",0
BlackBerry Messenger is second only to Facebook in user loyalty,2
Headed to all time highs,2
Your shit is broke,0
buy,2
Weak open and it goes r/g within first 30 mins,0
down $2.84 premarket,0
Guess who sold off about $800 million in $MDLZ,0
Buying on Weakness,2
